N,sentence
1,"Este número es importante, pero insuficiente, dada la gran necesidad de titulación que existe en el Perú."
2,Tenemos  mayor  celeridad  en  procesos  contenciosos  administrativos judiciales gracias a la eliminación de la emisión del dictamen fiscal.
3,"Hoy  Lima  2019  está  cambiando  positivamente  la  forma  en  que  se  realizan,  se disfrutan  y  se  organizan  eventos  deportivos  en  el  Perú."
4,"Por ello, la descentralización ha sido, es y seguirá siendo nuestro sello de gobierno."
5,Durante el 2018 el PBI del sector agropecuario creció 7.
6,Algunas  autoridades  del  más  alto  nivel  nos estaban robando el país.
7,"Sin embargo, la norma que la rige tiene cerca de treinta años de vigencia, y se hace necesario actualizarla para  que  se  adecúe  a  nuestra  realidad,  brindando  un  marco  legal  claro  a  los inversionistas, y dando tranquilidad y desarrollo para todos."
8,"Hoy  el  Perú  ya  cuenta  con  un  nuevo  y  moderno  Centro  de Operaciones  de  Emergencia  Nacional  (COEN),  en  el  distrito  de  Chorrillos, inaugurado hace escasamente diez días."
9,Es la voluntad de un pueblo valiente y luchador que alienta y estimula la construcción de un verdadero Estado de derecho.
10,"Mi gobierno ha dispuesto el “Acceso Universal en Salud”, para todos los peruanos y peruanas."
11,"Uno de los objetivos de este gobierno es entregar el Museo Nacional de Arqueología (MUNA) que se viene construyendo en Pachacamac, y que ya se proyecta como el más imponente de América Latina, con capacidad para recibir hasta 15,000 visitas por día y albergar todas las colecciones museográficas del Perú."
12,Es nuestro compromiso con  el  Perú  del  Bicentenario  construir  un  país  con  instituciones  sólidas  y transparentes.
13,Muchas gracias.
14,"Este año hemos aprobado el nuevo “Plan Nacional de Seguridad Ciudadana 2019- 2023”,  con  un  enfoque  descentralizado,  que  impulsa  la  unión  de  esfuerzos  y recursos de los tres niveles de gobierno."
15,"Esto implica no solo consolidar el desarrollo del sector agroexportador y minero que han venido sosteniendo  el  crecimiento  y  la  generación  de  empleo  en  los  últimos  años,  sino, además, facilitar las inversiones en otros sectores."
16,Será como el nuevo Qhapaq Ñan del siglo XXI.
17,"Se han  desarrollado 185,000 visitas dirigidas a 77,000 niños de entre 4 a 11 meses de edad."
18,"Del  mismo  modo,  hemos  encontrado  obstáculos  y  resistencias  para  sacar adelante la reforma política."
19,En  apoyo  a  la  micro  y  pequeña  empresa  se  han  lanzado  con  éxito  nuevas convocatorias del Programa de Apoyo a la Internacionalización del sector Comercio Exterior y del Programa Turismo Emprende.
20,"Si  trabajamos  unidos,  los  peruanos  somos  capaces  de  todo."
21,"El  gran  reto,  y  así  lo  tenemos  claro  desde  un  inicio,  es  abrir  un  rumbo diferente para el Perú, un horizonte de crecimiento, progreso y bienestar para todos, sentando las bases institucionales del Perú del Bicentenario."
22,"Por  otro  lado,  hemos  ejecutado  ciento  cincuenta  intervenciones  en  saneamiento, trescientos  cincuenta  intervenciones  en  pistas  y  veredas,  ocho  puentes  y  400 kilómetros de carretera; así como intervención en ciento noventa locales educativos, que  ya  se  encuentran  listos  para  que  niños  y  niñas  del  país  puedan  estudiar  en mejores condiciones."
23,"Para  ello,  estamos trabajando  sobre  políticas  que  mejoran  la  competitividad  y  la  productividad  de nuestra economía, con una visión de mediano y largo plazo."
24,Este gobierno entiende que esta tarea es imprescindible e impostergable.
25,"Las  colas,  los  trámites  engorrosos  y  los  tiempos  de  demora  han  quedado  en  el pasado."
26,"Ahora,  haré  referencia  a  las  variables  económicas  y  a  nuestro  trabajo  para dinamizar la economía del país."
27,"Digitalización   La  tecnología  está  cambiando  nuestra  forma  de  vivir,  de  comunicarnos,  de desenvolvernos en la sociedad, de atender los retos sociales y, sin duda, también está cambiando nuestra forma de hacer política pública y de prestar los servicios a los  ciudadanos."
28,En  el  transcurso  del siguiente año titularemos los primeros doscientos mil predios.
29,El acceso a agua potable y a un sistema de alcantarillado eficiente es un derecho fundamental.
30,"Asimismo, en esta ley también se ha propuesto que las farmacias y boticas privadas tengan  la  obligación  de  ofrecer  al  público  medicamentos  genéricos  de  calidad."
31,"La implementación de este registro ha sido largamente postergada en nuestro país, a pesar de las recomendaciones formuladas en los foros internacionales de la administración pública."
32,"Hoy, gracias al apoyo y aporte de todos los que han puesto el hombro por el Perú, estamos disfrutando de este gran evento."
33,"En  ese  objetivo,  este  año  2019 culminaremos 1,000 nuevas instituciones educativas, de las cuales 300 escuelas ya están culminadas beneficiando a los alumnos de 24 regiones, con una inversión de más de S/ 1,200 millones."
34,Se  ha coordinado con la CAF para garantizar el respaldo financiero necesario.
35,Este hospital beneficiará a más de 400 mil ciudadanos.
36,El Estado ha llegado a La Pampa para quedarse.
37,Le mostramos al país un camino viable para superar esta crisis que no nos  permite  avanzar  y  estamos  cambiando  de  paradigma  para  devolverle  a  los peruanos la dignidad y confianza que muchos han perdido.
38,"Con la intención de que estas iniciativas sean asumidas con la mayor celeridad, en  abril  de  este  año  el  Poder  Ejecutivo  presentó  a  este  Parlamento  doce proyectos de ley para su debate y aprobación; y ante la inacción del Congreso, se  solicitó  una  cuestión  de  confianza  sobre  seis  de  los  doce  proyectos propuestos inicialmente."
39,"Respecto al agricultor andino, largamente olvidado y postergado, hemos iniciado un ambicioso  programa  de  sembrío  de  pastos  mejorados  en  quinientos  diecisiete distritos de veintidós departamentos del país, para llegar al Bicentenario, al 2021, con medio millón de hectáreas sembradas de pastos mejorados, complementado con un programa de cochas, siembra y cosecha de aguas para dar sostenibilidad a este proceso."
40,"A pesar de las críticas y el lento avance, creemos que estamos camino a mejorar el sistema de administración de justicia."
41,Es  la  democracia  y  la  fe  de  los  peruanos  que  se  vienen  imponiendo  frente  a  los privilegios y los compadrazgos.
42,"Quiero en esta parte hacer un reconocimiento especial al ex ministro de Defensa, José Huerta, un peruano ejemplar que le dedicó hasta el último minuto de su vida al  país."
43,Se ha promovido la protección contra el hostigamiento sexual.
44,"Vamos a pasar, en cinco años, de 13% a 70% de pavimento en esta importante red integradora,  disminuyendo  ostensiblemente infraestructura  y constituyendo una revolución para el transporte en las regiones del país."
45,"No queremos frenar el crecimiento del país, ni frenar  la  inversión,  ni  quebrar  la  confianza  de  los  peruanos  una  vez  más."
46,Es  nuestro  debe  velar  por  la  conservación  del  lago  Titicaca.
47,"Este  año  hemos  realizado  una  inversión  histórica  de  S/  260  millones  en  la  lucha contra la violencia de género, asignando recursos para acciones específicas a cargo de los ministerios, gobiernos regionales y locales, Ministerio Público, Poder Judicial y  Defensoría  del  Pueblo,  cifra  nunca  antes  destinada  para  la  lucha  contra  la violencia hacia las mujeres."
48,"Asimismo, a fin de brindar la atención oportuna a los proyectos de reconstrucción, se  han  desconcentrado  y  fortalecido  todas  las  oficinas  en  los  diferentes departamentos."
49,"Estas evasivas fueron las que alteraron nuestro proyecto sobre bicameralidad, desnaturalizándolo y perdiendo así la oportunidad de regresar a un Parlamento de dos cámaras."
50,"En primer lugar, es necesario promover la diversificación productiva."
51,Esta no podrá seguir  operando.
52,"Gracias a la colaboración entre la Policía Nacional, el Ministerio Público, el Poder Judicial y la Defensa Pública del Estado se ha inaugurado el primer “Módulo Básico de  Seguridad”,  espacio  donde  se  podrá  sentenciar  en  menos  de  48  horas  a  los delincuentes que sean capturados en flagrancia."
53,"Por favor, señores congresistas."
54,Se  contará  con  mayor  independencia  y  autonomía  para  investigar  y sancionar las faltas disciplinarias de jueces y fiscales gracias a la Autoridad Nacional de Integridad y Control en el Ministerio Público.
55,"Como nos comprometimos el 28 de julio del 2018, venimos trabajando en la mejora de  los  desembarcaderos  pesqueros  artesanales."
56,"En  la  misma  línea,  expedimos  el  Decreto  Legislativo  1415  que  estableció  un nuevo marco normativo y operativo para el registro de la gestión de intereses (más conocidos como lobbies)."
57,"Sin  embargo,  para nuestro  país  proyectamos  un  crecimiento de la economía de 3."
58,El señor PRESIDENTE DEL CONGRESO DE LA REPÚBLICA (Pedro Olaechea Álvarez Calderón).
59,"Por  eso,  continuamos  en  el esfuerzo de reducir la brecha en infraestructura educativa."
60,Al  mes  de  julio  ya  hemos  llegado  al  hogar  novecientos cuarenta y tres mil.
61,"Los peruanos con su voto lograron incorporar en la  Constitución la regulación sobre  el  financiamiento  de  las  organizaciones  políticas,  la  prohibición  de  la reelección  inmediata  de  congresistas  de  la  República  y  se  aprobó  la  reforma constitucional  sobre  la  conformación  y  funciones  de  la  Junta  Nacional  de Justicia."
62,"Por ello, anuncio el Proyecto de Infraestructura de la Red Vial Departamental, que incluye  quince  mil  kilómetros  de  pavimento,  uniendo  cuarenta  y  dos  corredores logísticos,  con  una  inversión  que  supera  los  20,000  millones  de  soles."
63,"Esta  crisis  generalizada  ha  mancillado  al  país  cuestionando  la  idoneidad  e integridad  de  nuestras  autoridades,  debilitando  las  instituciones  jurídicas."
64,Impulsaremos  la  Beca  “Mi  Vocación  Técnica”  para  atender  a  instituciones educativas focalizadas por mayor deserción y mayor violencia local (Barrio Seguro).
65,"A mediano plazo se implementarán cuatro sistemas de alerta temprana a nivel nacional: ante tsunamis, ante sismos de gran magnitud en el litoral, ante lluvias intensas y ante actividad volcánica."
66,"En las últimas tres décadas se ha construido una planta de tratamiento por año, en nuestra  gestión  el  ritmo  de  construcción  se  ha  multiplicado  por  diez  y  vamos  a incrementarlo aún más, lo que demuestra la importancia que tiene esta tarea para nuestro gobierno."
67,"A julio de este año se han financiado 12,500 millones de soles, que corresponden a más de 5,900 intervenciones."
68,"Gracias al Plan Multisectorial ante Heladas y Friaje, estamos haciéndole frente a las consecuencias que genera el descenso de las temperaturas en las zonas altoandinas y en la Amazonía."
69,"Imaginen lo que hubiese pasado si hacíamos caso a los predicadores del ""no se puede""."
70,"Así, lo que antes le costaba a cada joven aproximadamente S/ 100 soles, hoy día no les cuesta nada."
71,"Sin embargo, donde hay un enorme retraso es en la Red Vial Departamental, que solo tiene el 13% de pavimento de los veintisiete mil quinientos kilómetros que la conforman."
72,"Por otro lado, durante el año 2018 se han destinado 450 millones de soles para el pago de sentencias judiciales debidamente priorizadas, asignándose para el sector Educación 200 millones de soles y para los otros sectores 250 millones para el pago de la deuda social."
73,En  2018  el  Perú  se  posicionó  como una  de  las  economías  con  la  mayor  tasa de expansión de la región al crecer 4%.
74,Todas estas fueron reformas necesarias para seguir avanzando en los cambios que necesitamos.
75,"Potenciaremos la educación superior tecnológica, enfatizando su articulación con el desarrollo productivo."
76,"De esa manera, se superó la meta prevista y se triplicó la cantidad de trabajadores formalizados en el 2018."
77,"El  turismo  generará, en el 2019, un millón  y  medio  de  empleos directos e indirectos."
78,"Queridos peruanos y peruanas, entre todos estamos escribiendo la historia del país  y  es  anhelo  de  mi  gobierno  fortalecer  las  instituciones  del  Estado, convencidos  que  no  existe  un  verdadero  crecimiento  económico  ni  una transformación social sin una reforma de las instituciones."
79,Recientemente hemos entregado en el departamento de Tacna un moderno desembarcadero pesquero artesanal en Morro Sama.
80,"Al pronunciar este mensaje desde la sede del Congreso, no puedo dejar de recordar ante  todos  los  peruanos  las  circunstancias  en  que  asumimos  la  conducción  del gobierno:  una  grave  crisis  política  y  un  escenario  de  zozobra  institucional  que habían trastocado las bases del Estado y fastidiado a nuestros ciudadanos."
81,"En  el  presente  año  estamos  pavimentando  más  de  mil  doscientos  kilómetros  de carreteras, con una inversión que supera los 3,400 millones de soles en doce obras, como parte de la Red Vial Nacional, que tiene el 80% de pavimento, de sus veintiséis mil  ochocientos  kilómetros  que  la  conforman."
82,"En  el  primer  trimestre  del  año  2019  hemos  asignado  recursos  a  los  pliegos  del Gobierno Nacional, gobiernos regionales y gobiernos locales por un monto de 2,800 millones de soles, asegurando la continuidad en la ejecución de obras pendientes."
83,Implementamos campañas para garantizar el cumplimiento de la neutralidad por parte de los servidores públicos en procesos electorales.
84,La recaudación consolidó su recuperación al alcanzar la presión tributaria el 14.
85,"Asimismo,  más  de  200  mil  docentes  de  educación  básica  de  inicial,  primaria  y secundaria,  de  ámbitos  rurales  y  urbanos,  recibirán  formación  para  mejorar  su desempeño con una inversión superior a los 267 millones de soles."
86,"¿Cuáles fueron los resultados? A la fecha, el Pleno del Congreso aprobó los seis proyectos de ley."
87,En lo que va de mi gobierno hemos construido cincuenta mil viviendas rurales para los damnificados del norte y los que sufren  de  heladas  en  el  sur.
88,Estamos  implementando  progresivamente  las  redes  integradas  en  salud.
89,"Las grandes decisiones  de este gobierno  se  toman  con  la  ciudadanía,  escuchando  a  cada  peruano  para  que pueda expresarse y así definir juntos el futuro de nuestro país y nuestro legado a las próximas generaciones."
90,En el primer trimestre hemos iniciado la emisión virtual del Certificado Único Laboral (CERTIJOVEN).
91,"El proyecto de Ley que modifica la Ley Orgánica del Ministerio Público y la creación  del  sistema  de  fiscales  especializados  en  delitos  contra  la Administración  Pública,  corrupción  de  funcionarios,  lavado  de  activos  y delitos conexos; y  -  El proyecto de Ley de probidad en el ejercicio de la abogacía."
92,Estas  medidas  incluyen  desde  regulaciones sectoriales hasta propuestas de ley que se han enviado a este Congreso.
93,Ya hemos puesto a disposición de los peruanos el nuevo servicio de “Certificado de Antecedentes  Policiales  Digital”.
94,"Este año el Proyecto Especial de Control y Reducción de Cultivos Ilegales en el Alto Huallaga (CORAH), iniciará las acciones de erradicación del cultivo ilegal de hojas de  coca  en  la  zona  del  VRAEM."
95,Para América Latina también se redujo su proyección de crecimiento a tan solo 0.
96,En cinco años  el  programa  que  diseñamos  cubrirá  el  70%  de  la  Red  Vial  Departamental.
97,"Siempre  fuimos  conscientes  de  que  era,  y  es,  un desafío  complejo  conducir  al  Perú  desde  la crisis  que  atraviesa  hacia  una nueva etapa  de  crecimiento  sostenido  y  estabilidad  institucional,  la  que  conduce  este camino de fortalecimiento de la República."
98,No queremos padres irresponsables trabajando en el Estado.
99,"Pasamos de ser testigos de los audios de la vergüenza, a ser los protagonistas de una lucha que no da tregua, que incluye nuevas evidencias que  comprometen  a  nuevos  grandes  proyectos  en  el  caso  Odebretch,  como Chavimochic y Gasoducto Sur Peruano."
100,"Del mismo modo, en solo seis meses ya hemos realizado 35 operativos policiales que han permitido la captura de peligrosos delincuentes."
101,"Bajo el objetivo de impulsar el desarrollo de nuestras regiones, a julio de 2019, se ha  entregado  todos  los  planes  regionales  de  exportación  (PERX)  y  seis  planes estratégicos  regionales  de  turismo,  los  que  representan  la  hoja  de  ruta  para  los gobiernos  regionales,  que  al  implementarlos  permitirán  alcanzar  su  potencial turístico y de desarrollo exportador."
102,"A través del programa “Compras MYPErú” hemos adquirido muebles y textiles para los Juegos Panamericanos, generando el acceso a la compra pública de trescientos dos mypes."
103,Estamos implementando estrategias que nos permitan cerrar brechas en el más corto plazo.
104,Se  ha  fortalecido  el  Tribunal  de  Transparencia  y  Acceso  a  la  Información Pública  gracias  a  la  implementación  de  un  procedimiento  administrativo electrónico.
105,Aquellos padres que no cumplan con sus obligaciones alimentarias serán separados del Estado.
106,"Ya hemos suscrito el convenio con el gobierno regional de Cusco para lograr que el gas de Camisea llegue a Anta en el año 2022, como parte del sistema integrado de transporte de gas a la zona sur del Perú, que abastecerá también a las regiones de Cusco, Apurímac, Puno, Arequipa, Moquegua y Tacna."
107,Tenemos el firme compromiso  de  capturar  y  de  poner  a  disposición  de  la  justicia  a  todo  aquel  que actué al margen de la ley.
108,"Se ha avanzado en la formalización de la propiedad pues más de ochenta y ocho mil agricultores, de las zonas rurales más alejadas del país, ya cuentan con su título de propiedad."
109,"A través de la Superintendencia Nacional de Fiscalización Laboral (SUNAFIL), en el primer semestre de este año se formalizó a casi 79 mil trabajadores/as a través de la inspección a un total de 11 mil empresas."
110,Aquellos quienes evitan poner al Perú primero han tratado de frenar innumerables veces la reforma.
111,"Para  este  año  2019  se  espera  mantener  la  tendencia creciente  de  la  recaudación,  lo  que  significará  un  ingreso  de  más  de  112,000 millones de soles."
112,"En la reconstrucción, con la finalidad de agilizar los procesos y reducir los tiempos de atención a los proyectos de reconstrucción, hemos desconcentrado y fortalecido nuestras oficinas en los diferentes departamentos."
113,El señor PRESIDENTE DE LA REPÚBLICA (Martín Vizcarra Cornejo).
114,Todos  los  peruanos  podremos  acceder  a  esta  información  y fiscalizar el correcto actuar de los funcionarios del Estado.
115,"Por eso, esta reforma constitucional deberá ser ratificada mediante referéndum."
116,Tenemos el derecho de estar informados para poder elegir.
117,Imaginen  si  hubiésemos  hecho  caso  a  esa  máquina  de  impedir  que  se hagan las cosas.
118,La  reforma  política  y  judicial  que  mi  gobierno  ha  emprendido  son  pilares fundamentales  de  la  reforma  integral  que  nuestro  país  requiere.
119,"Por eso, no solo hemos garantizado una transición democrática sino, escuchando el clamor de la ciudadanía, hemos emprendido las reformas judicial y política, y una lucha frontal contra la corrupción y la impunidad."
120,"Hemos creado 17 unidades de protección especial que atienden a las niñas, niños y adolescentes sin cuidados  parentales,  habiendo  cubierto  el  50%  de  distritos  judiciales  del  país,  y atendido a 20,000 niñas, niños y adolescentes, restituyéndoles el derecho de vivir en familia."
121,"Parte de este esfuerzo consiste en contar con una Policía Nacional más cercana a la comunidad, competente y honesta, una Policía de la que nos  sintamos  orgullosos."
122,"Una gran ventana de oportunidades se ha presentado para nuestra agricultura para continuar con esta exitosa senda de crecimiento, gracias a los catorce proyectos de ley  aprobados  por  el  Congreso  durante  el  primer  Pleno  Agrario  celebrado  hace algunas semanas."
123,"Como  todos  saben,  la  demanda  ciudadana  de  disolución  del  Congreso  es contundente; y considerando que la confianza solicitada por las reformas ha sido aprobada  solo  de  palabra  y  denegada  en  los  hechos,  he  decidido  como consecuencia de ello poner nuevamente por encima de todo los intereses del Perú."
124,Este plan comprende modificaciones normativas para poder alcanzar esta meta.
125,La infancia y adolescencia son también nuestra prioridad.
126,"Contamos ya con cuatro agencias regionales de desarrollo en La Libertad, Piura, Ayacucho y San Martín; e iremos creciendo en el resto de regiones."
127,"No  es  casual  entonces  que  la  creación  de  la  Junta  Nacional  de  Justicia encuentre problemas para entrar en funcionamiento, ni es casual que se busque responsabilizar al gobierno porque sabemos que la intención es desprestigiar el proceso de la reforma judicial emprendida."
128,"Por  ello, durante  este  gobierno,  hemos  tomado  la  firme  decisión  de  garantizar  la transformación  digital  del  Estado  como  pilar  fundamental  para  el  logro  de  los objetivos del país."
129,"Reforma  que solo  habremos  hecho  realidad  cuando  nuestras  instituciones  sean  sólidas  y transparentes,  y  cuando  los  tres  poderes  del  Estado,  revestidos  de  su independencia, fortalezcan las bases republicanas."
130,"Este  trámite  constituye  el  segundo  servicio  de mayor demanda del país y ahora, gracias a su digitalización, el certificado puede ser tramitado íntegramente por internet, las 24 horas del día y sin mayor demora."
131,"Según  la  información  del  Instituto  Nacional  de  Estadística  e  Informática,  los programas sociales han contribuido a disminuir en 0."
132,"Para ello, el Seguro Integral de Salud afiliará, independientemente de la condición socioeconómica, a toda persona que no cuente con seguro de salud con la finalidad de  garantizar  el  derecho  humano  a  la  salud."
133,La salud es un derecho humano y tenemos la obligación de garantizar su servicio.
134,Hemos  fortalecido  la  Estrategia  Multisectorial  “Barrio  Seguro”.
135,"Yo vengo de una región, he sido presidente regional y creo fehacientemente que el desarrollo  nacional  tiene  que  darse  desde  sus  bases,  respondiendo  a  las necesidades, demandas y aspiraciones de los peruanos de todo el país."
136,No  podemos  permitir  que  personajes  cuestionados  por  la  ciudadanía  continúen manchando el trabajo honesto de quienes sí apuestan por un Perú más justo.
137,"Pero, ¿qué tanto se ha mantenido de las propuestas originales del Ejecutivo? Muchos especialistas se han pronunciado y hablan de una clara desnaturalización  de  las  mismas,  y  algunos  miembros  de  la  Comisión  de Reforma  Política  ya  manifestaron  su  posición."
138,"Ello  se  ha  hecho  efectivo  en  las  últimas  semanas,  cuando  hemos  aprobado  una serie de medidas que promoverán de manera decidida las inversiones en el sector Forestal,  Acuicultura  y  Turismo."
139,"Gracias  a  este la  destrucción  de  19 megalaboratorios  de  procesamiento  de  droga,  la  incautación  de  cinco  máquinas moledoras de hoja de coca, así como la destrucción de catorce campamentos."
140,"Por otro lado, los municipios han recibido 600 millones de soles para la ejecución de inversiones, la gestión del Impuesto Predial, la gestión integral de los residuos sólidos, la implementación de visitas domiciliarias para la reducción de la anemia, la gestión de los sistemas de agua y saneamiento en el ámbito rural y la planificación urbana."
141,"También  este  año  culminaremos  85  establecimientos  de  salud,  en  distintas regiones, entre los que se encuentran importantes hospitales en Lima, San Martin, Ayacucho, Moquegua, Loreto, Pasco, Puno, San Martin, La Libertad y Arequipa."
142,Somos  firmes  en  esta  tarea.
143,Este mecanismo se  implementará gradualmente en las diferentes regiones del país y a nivel nacional.
144,"En  los  próximos  meses,  se  estará firmando ya el contrato correspondiente."
145,"Mi gobierno, con la Asamblea Nacional de Gobiernos Regionales, la Asociación de Municipalidades del Perú y la Red de Municipalidades Urbanas y Rurales del Perú ha  conformado  un  equipo  de  trabajo  multisectorial  e  intergubernamental  con participación de la Contraloría General de la República, para el fortalecimiento de capacidades en gestión organizacional y de recursos humanos."
146,Recibamos a todos los visitantes con lo mejor de nosotros.
147,El  Sello  Intercultural  estará presente en 18 regiones del país donde se concentra la mayor diversidad cultural y lingüística.
148,"Desde  que  asumimos  el  gobierno  hemos desplegado acciones que buscan atacar frontalmente y sin titubeos esta situación y hemos impulsado importantes medidas:  -  Ahora contamos con una Política General de Gobierno, estableciendo a la integridad y lucha contra la corrupción como eje central de intervención."
149,"No más impunidad en las universidades, en las escuelas y en los centros de trabajo con  la  aprobación  del  Reglamento  de  la  Ley  de  prevención  y  sanción  del hostigamiento sexual."
150,"Hoy  exportamos  a  China  más  de  setenta  mil  toneladas  anuales  en  mangos, arándanos, mandarinas, palta hass y uvas, gracias al cumplimiento de protocolos fitosanitarios."
